,trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
1,#TheBachelorette,http://twitter.com/search?q=%23TheBachelorette,NA,%23TheBachelorette,116440,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
2,Harden,http://twitter.com/search?q=Harden,NA,Harden,52810,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
3,Luke P,http://twitter.com/search?q=%22Luke+P%22,NA,%22Luke+P%22,32521,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
4,#NBAAwards,http://twitter.com/search?q=%23NBAAwards,NA,%23NBAAwards,168415,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
5,Giannis,http://twitter.com/search?q=Giannis,NA,Giannis,169144,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
6,Hannah,http://twitter.com/search?q=Hannah,NA,Hannah,72067,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
7,#CancelStudentDebt,http://twitter.com/search?q=%23CancelStudentDebt,NA,%23CancelStudentDebt,180047,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
8,#TheHillsNewBeginnings,http://twitter.com/search?q=%23TheHillsNewBeginnings,NA,%23TheHillsNewBeginnings,10403,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
9,#ATEEZ_ASC,http://twitter.com/search?q=%23ATEEZ_ASC,NA,%23ATEEZ_ASC,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
10,DPOY,http://twitter.com/search?q=DPOY,NA,DPOY,16535,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
11,Justin Bobby,http://twitter.com/search?q=%22Justin+Bobby%22,NA,%22Justin+Bobby%22,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
12,Tyler C,http://twitter.com/search?q=%22Tyler+C%22,NA,%22Tyler+C%22,14794,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
13,Holder,http://twitter.com/search?q=Holder,NA,Holder,26251,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
14,Rudy Gobert,http://twitter.com/search?q=%22Rudy+Gobert%22,NA,%22Rudy+Gobert%22,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
15,Greek Freak,http://twitter.com/search?q=%22Greek+Freak%22,NA,%22Greek+Freak%22,13895,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
16,The Hills,http://twitter.com/search?q=%22The+Hills%22,NA,%22The+Hills%22,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
17,John Wall,http://twitter.com/search?q=%22John+Wall%22,NA,%22John+Wall%22,11371,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
18,Floro,http://twitter.com/search?q=Floro,NA,Floro,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
19,BOP OR FLOP,http://twitter.com/search?q=%22BOP+OR+FLOP%22,NA,%22BOP+OR+FLOP%22,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
20,Contreras,http://twitter.com/search?q=Contreras,NA,Contreras,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
21,NEW LIST,http://twitter.com/search?q=%22NEW+LIST%22,NA,%22NEW+LIST%22,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
22,Luka,http://twitter.com/search?q=Luka,NA,Luka,52674,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
23,NBA MVP,http://twitter.com/search?q=%22NBA+MVP%22,NA,%22NBA+MVP%22,33449,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
24,Tommy Henry,http://twitter.com/search?q=%22Tommy+Henry%22,NA,%22Tommy+Henry%22,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
25,Lou Will,http://twitter.com/search?q=%22Lou+Will%22,NA,%22Lou+Will%22,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
26,Undertaker,http://twitter.com/search?q=Undertaker,NA,Undertaker,20748,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
27,Robin Roberts,http://twitter.com/search?q=%22Robin+Roberts%22,NA,%22Robin+Roberts%22,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
28,Kershaw,http://twitter.com/search?q=Kershaw,NA,Kershaw,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
29,Larry Bird,http://twitter.com/search?q=%22Larry+Bird%22,NA,%22Larry+Bird%22,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
30,Garrett,http://twitter.com/search?q=Garrett,NA,Garrett,11267,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
31,Trae,http://twitter.com/search?q=Trae,NA,Trae,31620,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
32,Flowers,http://twitter.com/search?q=Flowers,NA,Flowers,57641,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
33,Andy Reid,http://twitter.com/search?q=%22Andy+Reid%22,NA,%22Andy+Reid%22,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
34,#TextsFromSatan,http://twitter.com/search?q=%23TextsFromSatan,NA,%23TextsFromSatan,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
35,#FearTheDeer,http://twitter.com/search?q=%23FearTheDeer,NA,%23FearTheDeer,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
36,#GoBlue,http://twitter.com/search?q=%23GoBlue,NA,%23GoBlue,12268,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
37,#arirang_ASC,http://twitter.com/search?q=%23arirang_ASC,NA,%23arirang_ASC,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
38,#TheInvestigation,http://twitter.com/search?q=%23TheInvestigation,NA,%23TheInvestigation,30428,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
39,#NBAMVP,http://twitter.com/search?q=%23NBAMVP,NA,%23NBAMVP,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
40,#BelowDeckMed,http://twitter.com/search?q=%23BelowDeckMed,NA,%23BelowDeckMed,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
41,#LegionFX,http://twitter.com/search?q=%23LegionFX,NA,%23LegionFX,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
42,#Bucks,http://twitter.com/search?q=%23Bucks,NA,%23Bucks,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
43,#ItsAlwaysHardToGet,http://twitter.com/search?q=%23ItsAlwaysHardToGet,NA,%23ItsAlwaysHardToGet,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
44,#FireKietzman,http://twitter.com/search?q=%23FireKietzman,NA,%23FireKietzman,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
45,#LHHATL,http://twitter.com/search?q=%23LHHATL,NA,%23LHHATL,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
46,#PotLuckCrimes,http://twitter.com/search?q=%23PotLuckCrimes,NA,%23PotLuckCrimes,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
47,#IsARipOff,http://twitter.com/search?q=%23IsARipOff,NA,%23IsARipOff,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
48,#bachlorette,http://twitter.com/search?q=%23bachlorette,NA,%23bachlorette,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
49,#LukeP,http://twitter.com/search?q=%23LukeP,NA,%23LukeP,NA,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
50,#KiaMVP,http://twitter.com/search?q=%23KiaMVP,NA,%23KiaMVP,33673,Indianapolis,2427032,6/25/2019 5:34,6/25/2019 5:29
